WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-28939jhtw,cgalvan1,wsb-6m4xgd4tz,10.135.73.91,VDICHWY-S6GEI5G,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:09:10.496000-04:00,0
ws-j1scd541v,bpaquet,wsb-6m4xgd4tz,10.135.76.195,VDICHWY-I7G75KL,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-x6nq34g0f,ewright15,wsb-6m4xgd4tz,10.135.71.118,VDICHWY-IRNIOB2,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 23:26:39.522000-04:00,1
ws-cvc7clmhm,jthompson7,wsb-1dtmwzl2v,10.113.38.239,EC2AMAZ-12H768Q,STOPPED,AUTO_STOP,60,us-east-1,2022-11-28 16:34:10.278000-05:00,121
ws-h25wbvfd2,jpilkingto,wsb-6m4xgd4tz,10.135.76.58,VDICHWY-3DI2HM4,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-g4lq5vm2t,lstevens2,wsb-6m4xgd4tz,10.135.72.156,VDICHWY-CK7NU7R,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-27 13:41:32.465000-04:00,2
ws-09wm4rn3k,darmstron5,wsb-6m4xgd4tz,10.135.79.145,VDICHWY-6FGFHUJ,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-24 17:33:38.484000-04:00,5
ws-d3rs2r7q8,econtrera3,wsb-6m4xgd4tz,10.135.67.51,VDICHWY-CQGR2MJ,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:17:30.609000-04:00,0
ws-wlxhgrlfy,jcuellar2,wsb-83j5dqqlr,10.113.42.5,EC2AMAZ-QHR0S2H,STOPPED,AUTO_STOP,60,us-east-1,No login registered,N/A
ws-803d5p5c3,azarragoit,wsb-6m4xgd4tz,10.135.77.12,VDICHWY-1IVBQ9K,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 00:27:01.559000-04:00,2
ws-34wnl0f4w,sdesantis,wsb-6m4xgd4tz,10.135.73.63,VDICHWY-VCPQREA,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:07:44.273000-04:00,0
ws-2bmnjy733,amallahi,wsb-6m4xgd4tz,10.135.66.110,VDICHWY-CCMQB88,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-22 15:31:18.167000-04:00,7
ws-b0h5vvppq,lnguyen4,wsb-6m4xgd4tz,10.135.67.175,VDICHWY-VRADTF2,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 21:26:36.182000-04:00,1
ws-0ztntb0tj,lschiffman,wsb-6m4xgd4tz,10.135.64.51,VDICHWY-B62GKKL,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 19:49:44.623000-04:00,0
ws-0twbqbqst,rwojtak,wsb-6m4xgd4tz,10.135.78.221,VDICHWY-VE24S2G,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-27 18:21:34.360000-04:00,2
ws-7q9vpmgdk,swelsh4,wsb-6m4xgd4tz,10.135.68.29,VDICHWY-MIBLCRE,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:48.108000-04:00,0
ws-ggp64r2g5,asahu,wsb-38t9g96rj,10.113.36.88,VDICHWY-K25T5HV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:31.707000-04:00,0
ws-czmhgyw6x,smyers13,wsb-6m4xgd4tz,10.135.71.214,VDICHWY-2HGVS6Q,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:48.817000-04:00,0
ws-4zz7h25q5,vstevens2,wsb-6m4xgd4tz,10.135.79.151,VDICHWY-SS3OBBB,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 19:02:03.493000-04:00,0
ws-7tdfz1vkb,epacheco5,wsb-6m4xgd4tz,10.135.71.14,VDICHWY-DMUL072,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:13:42.982000-04:00,0
ws-5z6k17y9g,glopez9,wsb-6m4xgd4tz,10.135.67.35,VDICHWY-H786PJV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 07:48:03.557000-04:00,0
ws-75rxj0qhj,apizarro1,wsb-6m4xgd4tz,10.135.65.151,VDICHWY-50L3I9G,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 14:56:20.023000-04:00,1
ws-hw1gphqr0,cfrench2,wsb-1dtmwzl2v,10.113.36.247,EC2AMAZ-5321EDM,STOPPED,AUTO_STOP,60,us-east-1,2023-03-16 20:56:32.830000-04:00,13
ws-41qslqgxx,bfehr,wsb-6m4xgd4tz,10.135.72.249,VDICHWY-2Q4QO9N,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-01-06 15:32:09.962000-05:00,82
ws-c2xmbv0vc,cpacheco3,wsb-6m4xgd4tz,10.135.64.200,VDICHWY-46G13F7,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:27.814000-04:00,0
ws-0xfjsg8jl,dlawrence4,wsb-6m4xgd4tz,10.135.77.245,VDICHWY-B14NMHL,AVAILABLE,ALWAYS_ON,Null,us-east-1,2022-11-21 02:29:03.761000-05:00,129
ws-743h3z8mw,emcfatridg,wsb-6m4xgd4tz,10.135.66.131,VDICHWY-326CURP,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-19 03:37:12.877000-04:00,11
ws-63rqq5ldh,cearly1,wsb-6m4xgd4tz,10.135.69.254,VDICHWY-9OU9QF3,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 00:05:36.255000-04:00,1
ws-drjgct5ht,tgarca,wsb-6m4xgd4tz,10.135.65.196,VDICHWY-GE1TAS9,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:34.645000-04:00,0
ws-cj4j9635w,ntweed,wsb-1dtmwzl2v,10.113.38.242,EC2AMAZ-OOOVNP0,STOPPED,AUTO_STOP,60,us-east-1,2023-03-21 09:31:38.733000-04:00,9
ws-vz9w564vh,thodgson,wsb-6m4xgd4tz,10.135.76.246,VDICHWY-F1SAR1J,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 23:48:50.750000-04:00,0
ws-5j01v8jgc,jhadley4,wsb-6m4xgd4tz,10.135.75.178,VDICHWY-REHI40B,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:41.998000-04:00,0
ws-xypkwkwy8,sriggs2,wsb-6m4xgd4tz,10.135.69.68,VDICHWY-NFF25N1,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 12:24:32.194000-04:00,0
ws-3hrgx0qwp,mcavalier,wsb-6m4xgd4tz,10.135.77.144,VDICHWY-K36C411,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:28:48.816000-04:00,0
ws-g0jm7rdjg,jproctor3,wsb-6m4xgd4tz,10.135.79.115,VDICHWY-ARJ4LKC,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 19:27:14.007000-04:00,1
ws-vds6wg5dy,ssingarave,wsb-83j5dqqlr,10.113.39.62,EC2AMAZ-1CPVU0B,STOPPED,AUTO_STOP,60,us-east-1,2023-03-30 07:17:22.948000-04:00,0
ws-g44zdgybn,msosa4,wsb-6m4xgd4tz,10.135.65.212,VDICHWY-HFK4VMV,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:37.340000-04:00,0
ws-h08hckmqf,cpayne3,wsb-1dtmwzl2v,10.113.39.45,EC2AMAZ-CKO8AVN,STOPPED,AUTO_STOP,60,us-east-1,2023-03-24 16:22:42.865000-04:00,5
ws-985kmn2d8,gwestberry,wsb-6m4xgd4tz,10.135.71.1,VDICHWY-IUVO8DG,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:49.926000-04:00,0
ws-h3bjf9m2b,dthomas52,wsb-6m4xgd4tz,10.135.69.45,VDICHWY-HDFPREK,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:32.231000-04:00,0
ws-xkzpn2yw5,amastrogia,wsb-6m4xgd4tz,10.135.69.181,VDICHWY-62E87BL,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:54.527000-04:00,0
ws-h7yl3g2gp,sjohnson29,wsb-6m4xgd4tz,10.135.67.139,VDICHWY-LNJ5CPF,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-gywkltlgs,tjeanpierr,wsb-6m4xgd4tz,10.135.70.19,VDICHWY-2R3E5DM,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:03.194000-04:00,0
ws-hb1tlrvwb,usiyak,wsb-dqxtkgx0n,10.113.36.101,EC2AMAZ-8CVI63R,AVAILABLE,AUTO_STOP,60,us-east-1,2023-03-30 11:11:45.372000-04:00,0
ws-v2glc384w,kburant,wsb-6m4xgd4tz,10.135.69.238,VDICHWY-HB0711C,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 18:58:37.529000-04:00,1
ws-gk5tql7jm,romwebu,wsb-6m4xgd4tz,10.135.70.173,VDICHWY-0HMDFP5,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:32.814000-04:00,0
ws-2vcphlyjc,skyle,wsb-1dtmwzl2v,10.113.47.29,EC2AMAZ-MLN0LMM,STOPPED,AUTO_STOP,60,us-east-1,2023-03-15 12:23:31.339000-04:00,14
ws-htvfzbl9d,mtaylor40,wsb-6m4xgd4tz,10.135.73.89,VDICHWY-9STO1HC,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-02-17 18:21:07.252000-05:00,40
ws-jw6gm6yt9,dyslava,wsb-6m4xgd4tz,10.135.69.61,VDICHWY-O7VRVJB,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-27 20:21:39.774000-04:00,2
ws-60t5k0h0f,jrivera40,wsb-6m4xgd4tz,10.135.64.215,VDICHWY-GE8O3JH,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 19:31:08.898000-04:00,0
ws-4kbzsfffx,nphilistin,wsb-6m4xgd4tz,10.135.73.22,VDICHWY-8GINQEP,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:05.587000-04:00,0
ws-3hswr7rfk,mhamrick,wsb-6m4xgd4tz,10.135.65.45,VDICHWY-8AHC3BT,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:06.311000-04:00,0
ws-gb7f917p0,blaster1,wsb-6m4xgd4tz,10.135.75.118,VDICHWY-O096SMF,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-k5w2vg02c,fvalle,wsb-6m4xgd4tz,10.135.79.14,VDICHWY-I20JTKM,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 21:01:04.153000-04:00,0
ws-5mcg9l9kw,bbarrineau,wsb-6m4xgd4tz,10.135.73.29,VDICHWY-5N6AFQ6,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:28:54.589000-04:00,0
ws-53vg0yvj1,jfutrell,wsb-6m4xgd4tz,10.135.75.119,VDICHWY-G6V8CK1,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-1kp8y8z51,kfrazer,wsb-6m4xgd4tz,10.135.77.21,VDICHWY-PP1OU6S,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 03:33:54.651000-04:00,0
ws-h21731cd1,nmiller11,wsb-6m4xgd4tz,10.135.65.229,VDICHWY-GNJS7U5,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:50.550000-04:00,0
ws-6tyxgmbx8,crhoad,wsb-6m4xgd4tz,10.135.76.239,VDICHWY-8QJN8NI,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 23:28:29.193000-04:00,1
ws-8gxrfy99g,scox5,wsb-1dtmwzl2v,10.113.43.237,EC2AMAZ-M4DP5HK,STOPPED,AUTO_STOP,60,us-east-1,No login registered,N/A
ws-7dk0j1bk3,ccarroll3,wsb-6m4xgd4tz,10.135.67.119,VDICHWY-3CH126B,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:50.402000-04:00,0
ws-49jl7cvj1,zcarlson,wsb-6m4xgd4tz,10.135.66.183,VDICHWY-UV29JD2,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:22.348000-04:00,0
ws-f92nyc8b3,ldinson,wsb-6m4xgd4tz,10.135.74.170,VDICHWY-RSVRH4N,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:21.002000-04:00,0
ws-hw2gynhpd,swittman,wsb-6m4xgd4tz,10.135.64.217,VDICHWY-Q9NVFGA,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 20:28:05.991000-04:00,0
ws-x35pzz1m1,sthompson3,wsb-6m4xgd4tz,10.135.74.81,VDICHWY-JQI2DCH,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 17:46:36.679000-04:00,0
ws-4gp960gxk,kschutze,wsb-6m4xgd4tz,10.135.72.83,VDICHWY-3QEER6C,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-hzrs5p7b1,jbeaudoin,wsb-6m4xgd4tz,10.135.74.9,VDICHWY-9VIHDEE,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:56.517000-04:00,0
ws-7pmsghrpt,sbadilla,wsb-6m4xgd4tz,10.135.69.211,VDICHWY-OGHDTPS,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 22:58:56.526000-04:00,0
ws-40fdvw9mn,meggert,wsb-6m4xgd4tz,10.135.64.209,VDICHWY-5O958PA,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:04:10.196000-04:00,0
ws-jdrqksrk9,jtorres5,wsb-6m4xgd4tz,10.135.64.53,VDICHWY-6RM0324,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:10:47.998000-04:00,0
ws-w3z8npnbv,mraymond,wsb-6m4xgd4tz,10.135.75.31,VDICHWY-AP0ETRO,AVAILABLE,ALWAYS_ON,Null,us-east-1,No login registered,N/A
ws-g3f6zdf2f,awadley,wsb-6m4xgd4tz,10.135.70.71,VDICHWY-JJ46ACB,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:09:19.637000-04:00,0
ws-29dhnfp35,ksmith22,wsb-1dtmwzl2v,10.113.36.198,EC2AMAZ-Q9VD1N2,AVAILABLE,AUTO_STOP,60,us-east-1,2023-03-30 11:12:27.927000-04:00,0
ws-7vkx1bpt9,amohammed1,wsb-dqxtkgx0n,10.113.24.202,EC2AMAZ-G65T31R,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:09:44.388000-04:00,0
ws-dwbjybwqd,syenumula,wsb-1dtmwzl2v,10.113.36.185,EC2AMAZ-4DQ944C,STOPPED,AUTO_STOP,60,us-east-1,2023-03-20 16:31:34.480000-04:00,9
ws-6qsg6y994,mtorpey,wsb-6m4xgd4tz,10.135.64.22,VDICHWY-C8ANEGK,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 18:16:01.153000-04:00,0
ws-5rpfl8xbv,ovicks,wsb-6m4xgd4tz,10.135.74.134,VDICHWY-OJT7SA1,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-27 21:29:04.468000-04:00,2
ws-971mnprhp,alofton1,wsb-6m4xgd4tz,10.135.75.54,VDICHWY-M24OAMG,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:08:53.877000-04:00,0
ws-kglx5v72y,acarpio3,wsb-6m4xgd4tz,10.135.68.124,VDICHWY-5AOGI9R,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:12.142000-04:00,0
ws-vq45z1d19,treeves,wsb-6m4xgd4tz,10.135.70.247,VDICHWY-P3J74PK,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:11.285000-04:00,0
ws-htt3jbzcj,bfracchiol,wsb-6m4xgd4tz,10.135.74.88,VDICHWY-KA2GJEH,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:16.689000-04:00,0
ws-hr3cfdqn9,kperdue2,wsb-6m4xgd4tz,10.135.71.97,VDICHWY-TN80UM7,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:46.150000-04:00,0
ws-7tyjgrk0w,anorrell,wsb-6m4xgd4tz,10.135.77.97,VDICHWY-VOKD15O,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-02-19 03:34:30.613000-05:00,39
ws-vb6jb0r2b,arangel,wsb-1dtmwzl2v,10.113.37.194,EC2AMAZ-KS0I4CS,STOPPED,AUTO_STOP,60,us-east-1,No login registered,N/A
ws-6chqr7twz,bsotelo,wsb-6m4xgd4tz,10.135.69.127,VDICHWY-7VP6D1T,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:12:00.137000-04:00,0
ws-gj555l402,bpatil,wsb-83j5dqqlr,10.113.37.215,EC2AMAZ-COAGA2T,STOPPED,AUTO_STOP,60,us-east-1,No login registered,N/A
ws-vr7xg1hyl,ddavis57,wsb-6m4xgd4tz,10.135.76.197,VDICHWY-MD7E06R,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 22:48:24.905000-04:00,0
ws-hn5fq9ynp,mcain2,wsb-6m4xgd4tz,10.135.76.217,VDICHWY-UV16N9L,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 14:32:32.714000-04:00,1
ws-wz31w5yhr,csandoval1,wsb-6m4xgd4tz,10.135.79.35,VDICHWY-K7696D4,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:11:07.813000-04:00,0
ws-4lpw77yy2,trogers14,wsb-6m4xgd4tz,10.135.64.194,VDICHWY-S0JIPMR,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 22:31:13.860000-04:00,0
ws-h20c9pnkl,sparedes,wsb-6m4xgd4tz,10.135.70.72,VDICHWY-64TJHD8,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 18:29:17.260000-04:00,0
ws-9nhbtygy9,lmcclure1,wsb-6m4xgd4tz,10.135.78.5,VDICHWY-OUG5U83,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 00:17:56.386000-04:00,0
ws-1mwx79c5s,itaylor2,wsb-6m4xgd4tz,10.135.70.132,VDICHWY-HOCVQK6,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-28 19:53:18.313000-04:00,1
ws-4y8bl7jzg,kcole2,wsb-6m4xgd4tz,10.135.65.160,VDICHWY-DG1M00N,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:09:29.511000-04:00,0
ws-d7zsjt7qq,bmcculloch,wsb-1dtmwzl2v,10.113.37.236,EC2AMAZ-560K2VU,STOPPED,AUTO_STOP,60,us-east-1,2022-02-05 09:07:19.437000-05:00,418
ws-7cjn2n50j,cspicer,wsb-7v01w2s1n,10.113.41.30,EC2AMAZ-KQU1068,STOPPED,AUTO_STOP,60,us-east-1,2023-01-17 16:06:16.078000-05:00,71
ws-8s065jccz,astewart16,wsb-6m4xgd4tz,10.135.72.43,VDICHWY-SQMHV26,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:10:35.280000-04:00,0
ws-7bbpc15fb,jblack12,wsb-kfzj3nw9z,10.113.40.73,EC2AMAZ-GV1UQJE,STOPPED,AUTO_STOP,60,us-east-1,2023-02-07 09:45:18.870000-05:00,51
ws-554585kdp,kcrevatas,wsb-6m4xgd4tz,10.135.66.214,VDICHWY-FDEHJP2,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-30 11:10:43.377000-04:00,0
ws-jb25mjhg6,dgiugliano,wsb-6m4xgd4tz,10.135.77.171,VDICHWY-HC787CN,AVAILABLE,ALWAYS_ON,Null,us-east-1,2023-03-29 19:48:27.911000-04:00,0
